change,volume
0,40
0,10
0,100
0,10
0,10
1,100
-1,200
0,10
1,500
0,1000
0,100
0,100
0,100
0,10
0,100
0,50
0,100
-1,60
1,10
0,130
0,100
0,30
0,40
1,570
0,310
0,120
0,100
0,200
-1,20
0,40
0,200
0,90
0,130
-1,50
0,20
0,100
0,10
0,20
0,30
0,120
0,500
-1,200
0,400
0,10
0,10
1,30
-1,30
0,10
0,130
0,30
0,80
-1,300
0,200
0,10
1,10
-1,100
0,200
0,50
0,20
1,100
0,270
0,400
0,500
0,500
0,190
0,480
0,200
0,30
0,100
0,10
1,150
-1,10
1,150
-1,40
1,40
-1,20
0,10
1,50
-1,10
0,200
0,100
0,140
0,10
-1,10
0,50
0,20
0,200
0,100
0,10
-1,210
0,500
0,560
0,40
0,300
1,60
0,140
0,200
0,50
0,500
0,20
1,1120
-1,100
0,330
0,150
0,300
-1,260
0,100
0,20
0,20
0,20
0,50
-1,50
0,180
0,300
0,1000
0,100
1,300
0,200
0,100
0,60
0,200
0,100
1,70
-2,20
2,200
0,100
-1,20
1,300
0,320
0,50
1,1000
0,310
0,50
0,50
1,250
0,200
0,500
0,200
-2,20
2,700
0,150
0,10
0,10
0,10
0,100
0,10
0,10
0,150
0,350
1,1100
0,200
0,70
0,300
0,250
0,500
0,140
0,480
1,400
0,100
0,300
0,250
1,10
0,200
0,140
0,10
1,500
0,50
0,50
0,50
0,50
0,50
1,1000
0,100
0,300
0,10
0,10
-1,100
0,500
1,100
0,50
0,30
-1,30
2,100
0,100
0,100
0,150
0,100
0,100
0,100
0,100
0,200
0,410
0,300
0,30
0,10
-1,140
0,100
0,100
0,50
0,10
0,200
0,300
0,100
0,350
0,10
-1,30
0,100
0,500
0,190
0,20
0,30
1,700
0,160
0,300
0,250
0,200
0,100
1,500
0,300
0,250
0,50
0,10
1,200
0,250
0,50
0,500
0,200
0,200
0,300
1,450
0,230
0,230
-1,10
1,30
0,100
0,200
0,100
0,10
0,100
0,200
-1,1200
0,10
0,10
1,50
0,200
0,60
0,20
0,180
1,1000
0,320
0,100
1,150
0,100
-1,100
0,50
2,10
-1,260
0,260
0,50
0,20
0,50
-1,50
2,500
0,100
0,100
0,100
0,100
0,100
-1,200
0,20
0,70
-1,220
0,200
0,100
0,30
1,10
-2,70
2,40
-1,100
0,100
-1,270
1,40
-2,10
1,10
0,330
0,10
0,100
-1,10
1,20
0,140
-1,30
2,30
-2,330
0,200
0,30
0,10
0,300
0,120
0,20
1,10
-1,120
1,500
0,240
0,100
0,50
0,250
0,50
0,600
0,800
